time,memory
0.979,314420
1.425,314468
1.379,314408
2.150,314412
1.768,314468
3.481,314408
1.688,314488
1.794,314480
2.146,314496
1.304,314432
3.537,314468
0.860,314488
2.629,314468
1.336,314424
3.949,314496
0.918,314492
1.428,314468
1.301,314360
1.122,314360
1.077,314408
3.898,314408
1.276,314468
0.848,314468
2.538,314420
1.314,314416
2.347,314408
1.300,314420
1.168,314424
4.218,314468
1.014,314468
1.096,314420
2.930,314360
1.466,314420
0.995,314468
1.197,314408
2.381,314412
1.150,314468
0.989,314360
1.136,314420
1.105,314468
1.321,314468
1.108,314468
1.007,314488
0.880,314408
0.743,314468
0.977,314420
1.213,314496
0.716,314432
1.285,314420
1.230,314468
1.042,314464
1.101,314408
0.893,314424
0.773,314424
1.033,314468
0.932,314360
1.076,314468
0.800,314488
1.246,314408
0.952,314408
2.769,314488
1.909,314424
1.179,314456
1.248,314420
1.206,314488
1.497,314468
0.774,314468
1.362,314424
0.925,314420
0.907,314424
1.143,314420
0.935,314424
1.311,314420
1.065,314424
1.504,314420
0.718,314412
1.350,314424
0.770,314488
0.974,314468
1.331,314484
0.738,314468
1.066,314420
3.445,314456
0.710,314412
1.210,314420
1.438,314420
1.005,314468
1.051,314424
0.781,314468
0.719,314496
1.096,314424
0.989,314424
1.156,314496
0.875,314468
0.870,314468
1.705,314468
0.777,314408
1.338,314436
1.705,314420
0.765,314404
