time,memory
0.006,2156
0.012,2468
0.009,2452
0.010,2536
0.012,2204
0.013,2504
0.011,2420
0.009,2476
0.009,2156
0.011,2196
0.009,2468
0.009,2156
0.011,2180
0.008,2504
0.011,2156
0.009,2504
0.007,2240
0.005,2468
0.005,2240
0.005,2452
0.005,2420
0.005,2236
0.006,2492
0.005,2240
0.004,2504
0.006,2504
0.005,2492
0.005,2420
0.004,2476
0.005,2504
0.004,2460
0.004,2156
0.005,2448
0.010,2504
0.006,2472
0.004,2504
0.006,2424
0.005,2504
0.006,2180
0.006,2504
0.007,2540
0.013,2448
0.007,2504
0.005,2200
0.006,2180
0.005,2156
0.007,2204
0.007,2200
0.006,2204
0.005,2448
0.006,2504
0.004,2476
0.005,2460
0.005,2424
0.005,2476
0.005,2504
0.006,2504
0.005,2468
0.006,2476
0.005,2152
0.006,2156
0.007,2200
0.005,2452
0.005,2200
0.005,2424
0.006,2420
0.005,2196
0.005,2448
0.005,2180
0.005,2468
0.006,2504
0.005,2204
0.004,2468
0.006,2452
0.013,2196
0.005,2420
0.005,2416
0.005,2204
0.005,2428
0.005,2424
0.005,2504
0.004,2156
0.006,2156
0.006,2180
0.005,2420
0.005,2540
0.008,2460
0.004,2156
0.005,2460
0.006,2180
0.005,2424
0.005,2448
0.007,2424
0.005,2156
0.005,2476
0.006,2448
0.005,2488
0.004,2460
0.005,2156
0.006,2456
