time,memory
0.056,3432
0.031,3504
0.029,3496
0.028,3476
0.027,3496
0.027,3416
0.028,3476
0.028,3368
0.026,3476
0.027,3476
0.029,3504
0.027,3464
0.027,3368
0.028,3424
0.028,3368
0.027,3476
0.027,3476
0.027,3504
0.029,3476
0.028,3476
0.034,3428
0.028,3428
0.028,3432
0.028,3428
0.028,3476
0.028,3476
0.028,3504
0.033,3476
0.026,3504
0.027,3432
0.027,3496
0.037,3504
0.027,3368
0.028,3476
0.027,3476
0.028,3416
0.027,3476
0.027,3476
0.030,3368
0.030,3416
0.032,3440
0.055,3476
0.031,3464
0.030,3496
0.028,3432
0.028,3476
0.028,3368
0.031,3432
0.028,3416
0.027,3428
0.027,3476
0.046,3464
0.027,3428
0.027,3368
0.031,3476
0.032,3416
0.032,3420
0.032,3476
0.031,3428
0.027,3428
0.027,3432
0.052,3420
0.032,3364
0.031,3428
0.032,3480
0.029,3496
0.029,3440
0.029,3428
0.032,3428
0.034,3476
0.031,3504
0.039,3440
0.035,3432
0.036,3496
0.038,3476
0.075,3420
0.066,3476
0.072,3420
0.074,3464
0.061,3476
0.036,3504
0.033,3432
0.068,3428
0.063,3464
0.058,3464
0.039,3476
0.032,3496
0.031,3368
0.031,3464
0.031,3440
0.050,3480
0.038,3496
0.040,3492
0.034,3416
0.033,3476
0.033,3432
0.040,3428
0.034,3476
0.038,3480
0.046,3416
