time,memory
0.883,196796
0.871,196780
0.871,196780
1.222,196808
1.089,196824
1.049,196752
1.294,196724
0.543,196808
0.339,196768
0.352,196828
0.357,196724
0.761,196756
0.821,196828
0.920,196808
0.809,196752
0.746,196796
0.855,196752
0.948,196828
0.793,196748
0.790,196828
0.837,196828
0.539,196808
0.620,196764
0.593,196756
0.633,196796
0.615,196764
0.737,196808
0.715,196772
0.719,196808
0.801,196772
0.724,196756
0.793,196748
0.366,196764
0.793,196828
0.680,196720
0.642,196748
0.619,196764
0.644,196808
0.793,196828
0.781,196748
0.928,196756
0.734,196760
0.693,196768
0.382,196768
0.660,196720
0.665,196808
0.626,196724
0.661,196808
0.679,196720
0.749,196748
0.718,196720
0.739,196756
0.732,196764
0.852,196744
0.424,196768
0.656,196760
0.667,196808
0.618,196764
0.610,196808
0.649,196724
0.680,196768
0.779,196760
0.699,196772
0.680,196720
0.697,196808
0.698,196768
0.654,196768
0.752,196724
0.706,196720
0.645,196768
0.644,196764
0.701,196768
0.712,196764
0.715,196808
0.693,196748
0.737,196768
1.335,196828
0.642,196752
1.022,196772
0.789,196772
1.064,196760
0.638,196764
0.717,196796
0.870,196808
0.693,196828
0.632,196808
0.930,196744
1.137,196808
0.651,196724
0.733,196724
0.637,196724
0.765,196748
0.666,196764
0.631,196772
0.680,196764
0.715,196808
0.774,196808
0.740,196724
0.626,196724
0.637,196748
