time,memory
0.182,25736
0.108,25700
0.215,25680
0.254,25704
0.282,25680
0.163,25652
0.183,25736
0.450,25684
0.158,25676
0.201,25736
0.212,25652
0.231,25772
0.244,25736
0.331,25736
0.144,25700
0.192,25680
0.235,25724
0.246,25696
0.234,25652
0.240,25700
0.263,25656
0.303,25652
0.211,25700
0.206,25708
0.170,25736
0.222,25708
0.257,25736
0.197,25652
0.198,25708
0.364,25652
0.635,25772
0.574,25680
0.553,25736
0.212,25724
0.140,25680
0.363,25736
0.332,25692
0.352,25676
0.227,25736
0.128,25768
0.206,25680
0.661,25652
0.116,25692
0.185,25772
0.191,25684
0.195,25708
0.210,25736
0.370,25736
0.176,25708
0.208,25772
0.203,25736
0.205,25708
0.231,25700
0.262,25736
0.244,25736
0.290,25736
0.176,25700
0.185,25676
0.176,25692
0.209,25676
0.218,25692
0.247,25696
0.238,25772
0.233,25700
0.190,25692
0.184,25680
0.180,25652
0.214,25676
0.226,25700
0.262,25656
0.246,25772
0.254,25724
0.707,25736
0.328,25656
0.365,25684
0.382,25676
0.142,25736
0.187,25708
0.218,25652
0.190,25736
0.207,25736
0.144,25676
0.133,25700
0.213,25656
0.218,25692
0.185,25736
0.245,25676
0.265,25684
0.191,25680
0.173,25656
0.209,25708
0.330,25680
0.177,25708
0.129,25700
0.191,25736
0.208,25676
0.314,25700
0.257,25696
0.227,25772
0.192,25736
